Time(s)	Ixx	Iyy	Roll_Rate	Roll	Flightpath_Speed	Mach	Dyn_Pres	Thrust(kN)	mass(Mg)	CoM (m)	CoP (m)	Cd	Sideslip	Sideslip_rate	AoA	AoA_Rate	Density
0	1.05	182	0	0	0	0	0	0	0.146	1.666	0.77	0	0	0	-5	0	1.224804039
0.0002	1.049996119	181.9995224	0	0	0	0	0	0	0.145999224	1.666001781	0.77	0	0	0	-5	0	1.224804039
0.0004	1.049992239	181.9990448	0	0	0	0	0	0	0.145998448	1.666003562	0.77	0	0	0	-5	0	1.224804039
0.0006	1.049988358	181.9985672	0	0	0	0	0	0	0.145997672	1.666005343	0.77	0	0	0	-5	0	1.224804039
0.0008	1.049984478	181.9980896	0	0	0	0	0	0	0.145996896	1.666007124	0.77	0	0	0	-5	0	1.224804039
0.001	1.049980597	181.9976119	0	0	0	0	0	0	0.145996119	1.666008905	0.77	0	0	0	-5	0	1.224804039
0.0012	1.049976716	181.9971343	0	0	0	0	0	0	0.145995343	1.666010687	0.77	0	0	0	-5	0	1.224804039
0.0014	1.049972836	181.9966567	0	0	0	0	0	0	0.145994567	1.666012468	0.77	0	0	0	-5	0	1.224804039
0.0016	1.049968955	181.9961791	0	0	0	0	0	0	0.145993791	1.666014249	0.77	0	0	0	-5	0	1.224804039
0.0018	1.049965075	181.9957015	0	0	0	0	0	0	0.145993015	1.66601603	0.77	0	0	0	-5	0	1.224804039
0.002	1.049961194	181.9952239	0	0	0	0	0	0	0.145992239	1.666017811	0.77	0	0	0	-5	0	1.224804039
0.0022	1.049957313	181.9947463	0	0	0	0	0	0	0.145991463	1.666019592	0.77	0	0	0	-5	0	1.224804039
0.0024	1.049953433	181.9942687	0	0	0	0	0	0	0.145990687	1.666021373	0.77	0	0	0	-5	0	1.224804039
0.0026	1.049949552	181.993791	0	0	0	0	0	0	0.14598991	1.666023154	0.77	0	0	0	-5	0	1.224804039
0.0028	1.049945672	181.9933134	0	0	0	0	0	0	0.145989134	1.666024935	0.77	0	0	0	-5	0	1.224804039
0.003	1.049941791	181.9928358	0	0	0	0	0	0	0.145988358	1.666026716	0.77	0	0	0	-5	0	1.224804039
0.0032	1.04993791	181.9923582	0	0	0	0	0	0	0.145987582	1.666028498	0.77	0	0	0	-5	0	1.224804039
0.0034	1.04993403	181.9918806	0	0	0	0	0	0	0.145986806	1.666030279	0.77	0	0	0	-5	0	1.224804039
0.0036	1.049930149	181.991403	0	0	0	0	0	0	0.14598603	1.66603206	0.77	0	0	0	-5	0	1.224804039
0.0038	1.049926269	181.9909254	0	0	0	0	0	0	0.145985254	1.666033841	0.77	0	0	0	-5	0	1.224804039
0.004	1.049922388	181.9904478	0	0	0	0	0	0	0.145984478	1.666035622	0.77	0	0	0	-5	0	1.224804039
0.0042	1.049918507	181.9899701	0	0	0	0	0	0	0.145983701	1.666037403	0.77	0	0	0	-5	0	1.224804039
0.0044	1.049914627	181.9894925	0	0	0	0	0	0	0.145982925	1.666039184	0.77	0	0	0	-5	0	1.224804039
0.0046	1.049910746	181.9890149	0	0	0	0	0	0	0.145982149	1.666040965	0.77	0	0	0	-5	0	1.224804039
